DateTime,Total Population (Number)
2022-01-01,5637022.0
2021-01-01,5453566.0
2020-01-01,5685807.0
2019-01-01,5703569.0
2018-01-01,5638676.0
2017-01-01,5612253.0
2016-01-01,5607283.0
2015-01-01,5535002.0
2014-01-01,5469724.0
2013-01-01,5399162.0
2012-01-01,5312437.0
2011-01-01,5183688.0
2010-01-01,5076732.0
2009-01-01,4987573.0
2008-01-01,4839396.0
2007-01-01,4588599.0
2006-01-01,4401365.0
2005-01-01,4265762.0
2004-01-01,4166664.0
2003-01-01,4114826.0
2002-01-01,4175950.0
2001-01-01,4138012.0
2000-01-01,4027887.0
1999-01-01,3958723.0
1998-01-01,3927213.0
1997-01-01,3796038.0
1996-01-01,3670704.0
1995-01-01,3524506.0
1994-01-01,3419048.0
1993-01-01,3313471.0
1992-01-01,3230698.0
1991-01-01,3135083.0
1990-01-01,3047132.0
1980-01-01,2413945.0
